Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
5.591,0.0,0.0,0.0,0.0,0.0,0.0
5.617,0.0,0.0,0.0,0.0,0.0,0.0
5.643,0.0,0.0,0.0,0.0,0.0,0.0
5.673,0.0,0.0,0.0,0.0,0.0,0.0
5.699,0.0,0.0,0.0,0.0,0.0,0.0
5.727,0.0,0.0,0.0,0.0,0.0,0.0
5.754,0.0,0.0,0.0,0.0,0.0,0.0
5.783,0.0,0.0,0.0,0.0,0.0,0.0
5.813,0.0,0.0,0.0,0.0,0.0,0.0
5.841,0.0,0.0,0.0,0.0,0.0,0.0
5.87,0.0,0.0,0.0,0.0,0.0,0.0
5.895,0.0,0.0,0.0,0.0,0.0,0.0
5.923,0.0,0.0,0.0,0.0,0.0,0.0
5.948,0.0,0.0,0.0,0.0,0.0,0.0
5.973,0.0,0.0,0.0,0.0,0.0,0.0
5.999,0.0,0.0,0.0,0.0,0.0,0.0
6.028,0.0,0.0,0.0,0.0,0.0,0.0
6.053,0.0,0.0,0.0,0.0,0.0,0.0
6.082,0.0,0.0,0.0,0.0,0.0,0.0
6.108,0.0,0.0,0.0,0.0,0.0,0.0
6.134,0.0,0.0,0.0,0.0,0.0,0.0
6.16,0.0,0.0,0.0,0.0,0.0,0.0
6.185,0.0,0.0,0.0,0.0,0.0,0.0
6.211,0.0,0.0,0.0,0.0,0.0,0.0
6.236,0.0,0.0,0.0,0.0,0.0,0.0
6.262,0.0,0.0,0.0,0.0,0.0,0.0
6.288,0.0,0.0,0.0,0.0,0.0,0.0
6.313,0.0,0.0,0.0,0.0,0.0,0.0
6.338,0.0,0.0,0.0,0.0,0.0,0.0
6.364,0.0,0.0,0.0,0.0,0.0,0.0
6.39,0.0,0.0,0.0,0.0,0.0,0.0
6.42,0.0,0.0,0.0,0.0,0.0,0.0
6.446,0.0,0.0,0.0,0.0,0.0,0.0
6.472,0.0,0.0,0.0,0.0,0.0,0.0
6.498,0.0,0.0,0.0,0.0,0.0,0.0
6.523,0.0,0.0,0.0,0.0,0.0,0.0
6.548,0.0,0.0,0.0,0.0,0.0,0.0
6.573,0.0,0.0,0.0,0.0,0.0,0.0
6.598,0.0,0.0,0.0,0.0,0.0,0.0
6.623,0.0,0.0,0.0,0.0,0.0,0.0
6.648,0.0,0.0,0.0,0.0,0.0,0.0
6.674,0.0,0.0,0.0,0.0,0.0,0.0
6.699,0.0,0.0,0.0,0.0,0.0,0.0
6.726,0.0,0.0,0.0,0.0,0.0,0.0
6.751,0.0,0.0,0.0,0.0,0.0,0.0
6.776,0.0,0.0,0.0,0.0,0.0,0.0
6.803,0.0,0.0,0.0,0.0,0.0,0.0
6.828,0.0,0.0,0.0,0.0,0.0,0.0
6.853,0.0,0.0,0.0,0.0,0.0,0.0
6.88,0.0,0.0,0.0,0.0,0.0,0.0
6.905,0.0,0.0,0.0,0.0,0.0,0.0
6.93,0.0,0.0,0.0,0.0,0.0,0.0
6.955,0.0,0.0,0.0,0.0,0.0,0.0
6.98,0.0,0.0,0.0,0.0,0.0,0.0
7.005,0.0,0.0,0.0,0.0,0.0,0.0
7.03,0.0,0.0,0.0,0.0,0.0,0.0
7.055,0.0,0.0,0.0,0.0,0.0,0.0
7.08,0.0,0.0,0.0,0.0,0.0,0.0
7.105,0.0,0.0,0.0,0.0,0.0,0.0
7.13,0.0,0.0,0.0,0.0,0.0,0.0
7.155,0.0,0.0,0.0,0.0,0.0,0.0
7.183,0.0,0.0,0.0,0.0,0.0,0.0
7.209,0.0,0.0,0.0,0.0,0.0,0.0
7.234,0.0,0.0,0.0,0.0,0.0,0.0
7.26,0.0,0.0,0.0,0.0,0.0,0.0
7.285,0.0,0.0,0.0,0.0,0.0,0.0
7.31,0.0,0.0,0.0,0.0,0.0,0.0
7.335,0.0,0.0,0.0,0.0,0.0,0.0
7.362,0.0,0.0,0.0,0.0,0.0,0.0
7.388,0.0,0.0,0.0,0.0,0.0,0.0
7.414,0.0,0.0,0.0,0.0,0.0,0.0
7.443,0.0,0.0,0.0,0.0,0.0,0.0
7.469,0.0,0.0,0.0,0.0,0.0,0.0
7.499,0.0,0.0,0.0,0.0,0.0,0.0
7.524,0.0,0.0,0.0,0.0,0.0,0.0
7.554,0.0,0.0,0.0,0.0,0.0,0.0
7.579,0.0,0.0,0.0,0.0,0.0,0.0
7.604,0.0,0.0,0.0,0.0,0.0,0.0
7.629,0.0,0.0,0.0,0.0,0.0,0.0
7.654,0.0,0.0,0.0,0.0,0.0,0.0
7.679,0.0,0.0,0.0,0.0,0.0,0.0
7.705,0.0,0.0,0.0,0.0,0.0,0.0
7.732,0.0,0.0,0.0,0.0,0.0,0.0
7.757,0.0,0.0,0.0,0.0,0.0,0.0
7.782,0.0,0.0,0.0,0.0,0.0,0.0
7.808,0.0,0.0,0.0,0.0,0.0,0.0
7.833,0.0,0.0,0.0,0.0,0.0,0.0
